alias,model,mean,std,se
Claude 3 Opus,exponential,-88.76608936447319,8.93018868237912,3.9937017891397977
Claude 3 Opus,logistic,-79.85351899609888,6.6437875169186205,2.9711921031789137
Claude 3 Opus,weibull,-80.61519593862783,6.415555334900102,2.869123568449611
Claude 3.5 Sonnet (New),exponential,-105.84551558446083,17.668089638715003,7.9014098929452885
Claude 3.5 Sonnet (New),logistic,-93.1420057535324,14.383716310312119,6.432593487786071
Claude 3.5 Sonnet (New),weibull,-93.98672407048204,13.52757762290926,6.049716627146024
Claude 3.5 Sonnet (Old),exponential,-105.49907274848815,17.338406669364154,7.753971186846793
Claude 3.5 Sonnet (Old),logistic,-87.5333740877218,8.765316537426555,3.919968724397771
Claude 3.5 Sonnet (Old),weibull,-90.32297065563982,9.758211936822317,4.364005045916916
Claude 3.7 Sonnet,exponential,-67.21362763687772,15.289447447455236,6.8376487661841105
Claude 3.7 Sonnet,logistic,-66.87204899817321,12.476908538165537,5.579843128077134
Claude 3.7 Sonnet,weibull,-66.57927598047485,14.097009029329314,6.3043740938017345
GPT-2,exponential,-86.32608671739119,7.363921870513863,3.2932459766932802
GPT-2,logistic,-87.87681514283341,7.010981675829159,3.1354063232318787
GPT-2,weibull,-87.24469502914077,7.332591226509322,3.2792344867386802
GPT-4 0125,exponential,-71.903531079222,11.850028698195255,5.299493940897586
GPT-4 0125,logistic,-63.14666022078136,4.650348699879029,2.079699162401455
GPT-4 0125,weibull,-66.69496977649345,6.299026414423122,2.8170102509433725
GPT-4 0314,exponential,-74.95153573538377,3.9971427846257175,1.787576596439181
GPT-4 0314,logistic,-68.27675916691886,2.5784468921560983,1.1531165054468209
GPT-4 0314,weibull,-69.14004693570482,3.0093249045420385,1.3458110105878127
GPT-4 1106,exponential,-96.8359216741093,17.92392740281085,8.015824019291262
GPT-4 1106,logistic,-88.34294306119276,10.411694701119336,4.656251422535438
GPT-4 1106,weibull,-88.30084730677848,11.0167616692754,4.92684559688277
GPT-4 Turbo,exponential,-68.02386090641399,5.628277104598911,2.5170420404177714
GPT-4 Turbo,logistic,-64.40729742470452,6.853973941600719,3.0651903298862764
GPT-4 Turbo,weibull,-66.0016436134787,5.3379527915514275,2.387205060518751
GPT-4o,exponential,-90.17021872595107,11.877052234850643,5.3115792338883665
GPT-4o,logistic,-84.12334036929482,8.274747011786303,3.7005793629934853
GPT-4o,weibull,-83.82104824671697,8.579627896908132,3.836926239828028
davinci-002 (GPT-3),exponential,-63.43089359569186,7.663479106667348,3.4272120453315105
davinci-002 (GPT-3),logistic,-63.93279828755053,6.359191225314691,2.843916772344766
davinci-002 (GPT-3),weibull,-63.10319533969012,6.908476318407907,3.0895645337815125
gpt-3.5-turbo-instruct,exponential,-30.536289861373128,9.418351516827483,4.212014845522901
gpt-3.5-turbo-instruct,logistic,-26.36250190231933,5.474842621375365,2.4484240535016917
gpt-3.5-turbo-instruct,weibull,-33.75041981142037,15.63159383083208,6.990661280481375
o1,exponential,-95.1940093609974,10.46337429728148,4.679363240549096
o1,logistic,-87.99822242073883,6.547057123763945,2.927932956262087
o1,weibull,-87.48102122325119,7.055602080954206,3.155361175040516
o1-preview,exponential,-85.77467827765099,11.653915184806847,5.211789311449026
o1-preview,logistic,-81.58729234138599,7.707341595039994,3.446827946464216
o1-preview,weibull,-81.1422891084865,7.660438751114253,3.4258523569930124
