alias,n,lambda,lambda_ci_low,lambda_ci_high,k,k_ci_low,k_ci_high,bootstrap_n
Claude 3 Opus,1371,0.0626400411574682,0.0518081863119251,0.0761102725524958,0.5637841642595741,0.5135042400347649,0.639263495151441,300
Claude 3.5 Sonnet (New),1384,0.0157108774526487,0.0126842672394878,0.0198547973439602,0.5509554999152017,0.5017757499518889,0.6135711804538535,300
Claude 3.5 Sonnet (Old),1378,0.026902263792706,0.0212556393797503,0.0327887054685895,0.5752053304156405,0.5199744354009752,0.6546633919970549,300
Claude 3.7 Sonnet,1344,0.009166977477412,0.007889653944652,0.0106829841532456,0.951262267932146,0.8082385444824994,1.1907844544789177,300
GPT-2,746,8.52498855503825,6.001410449570243,11.600645655329338,0.311728173535203,0.2382977938950701,0.4206678030877278,300
GPT-4 0125,1379,0.0906764095242389,0.0747889979454366,0.1093079890029772,0.6854190210705646,0.6215776547986043,0.7781408525825064,300
GPT-4 0314,1279,0.073514755544457,0.0596336708844339,0.0922692392015876,0.5822146284202728,0.5326532811728916,0.6627504921170382,300
GPT-4 1106,1376,0.048034298885464,0.0383900117931858,0.0591933625519086,0.5583069610771941,0.4983589442031773,0.6379260258352614,300
GPT-4 Turbo,1372,0.0748559725534403,0.0624901424855968,0.0900959427155925,0.7282058938693219,0.6456948182050096,0.8715329429739269,300
GPT-4o,1362,0.0453081307994404,0.0373725147068321,0.0547012587500786,0.564419234041315,0.5030279671254723,0.6618420971480556,300
davinci-002 (GPT-3),1469,3.972174418419485,2.930426570829736,5.2915512485411735,0.8549243415625986,0.666781302992443,1.1640385145647096,300
human,793,0.0018245173011666,0.0010295703151233,0.0027794591524551,0.3519564891363774,0.2918377877781388,0.4404321257962775,300
o1,1337,0.0085358547806946,0.0072335319775031,0.0105289099384682,0.5834096854969884,0.5185951926438108,0.6723601102333294,300
o1-preview,1337,0.0171769116197496,0.0139657321975623,0.0210864224670204,0.6053181818863188,0.543387337981874,0.6998654138868141,300
