alias,p1_logistic,p1_weibull
Claude 3 Opus,2359.974528231194,239.64352072334233
Claude 3.5 Sonnet (New),8782.840335257351,1017.6758235522218
Claude 3.5 Sonnet (Old),4495.205557041239,528.7741007402725
Claude 3.7 Sonnet,2209.3507955358846,543.2513072382206
GPT-2,537.1840307037154,15.73791982424133
GPT-4 0125,589.8487835599856,102.36597776120328
GPT-4 0314,1676.941495633175,187.41432176727002
GPT-4 1106,2676.4427608752135,320.9278259600474
GPT-4 Turbo,576.8429231976521,108.784674112987
GPT-4o,2836.2160963111605,330.30709748151935
davinci-002 (GPT-3),6.322437844687833,1.5023332735998391
human,7758403.213555127,42005.450456028724
o1,17055.887064634953,1605.449994699496
o1-preview,4947.06120019207,725.6923209904604
