alias,p50_logistic,p50_weibull,p80_logistic,p80_weibull
Claude 3 Opus,6.875923896026764,8.33327206021841,1.1813459990482136,1.116126684234331
Claude 3.5 Sonnet (New),28.79732072515919,32.72602180024554,5.127111304284961,4.182746017289995
Claude 3.5 Sonnet (Old),17.519504154363656,19.655527609193243,3.286137592088564,2.7397995059151343
Claude 3.7 Sonnet,68.64405558610925,74.20685416896485,24.085677854117023,22.541511048511875
GPT-2,0.036479801389103395,0.03619816200862415,0.002016479916963619,0.0009541460839327755
GPT-4 0125,5.414460711692702,6.460649076800371,1.3151036278845432,1.2362755553601408
GPT-4 0314,5.928956035214734,7.248206086530567,1.079884090314549,1.0345874350983297
GPT-4 1106,9.564780374308153,10.79807528200389,1.7477479231108097,1.4180084503263255
GPT-4 Turbo,7.111943783904255,8.075864403826714,1.8881837862116955,1.7030398495338277
GPT-4o,10.17967435390409,11.52946413085793,1.8625335536477945,1.5477094874402038
davinci-002 (GPT-3),0.1513048934708271,0.1639782181930449,0.04906892504998712,0.043552651944718704
human,186.71548660912512,193.4620189417186,7.547527473730128,7.7269937670066735
o1,55.04015500225661,62.50547431428852,9.752481004438488,8.957494905015627
o1-preview,28.275518954873107,31.77567636314739,5.953092048703759,4.8854074703821055
