alias,n,logistic_b0,logistic_b1,exponential_lambda,weibull_lambda,weibull_k,bic_logistic,bic_exponential,bic_weibull,best_bic
Claude 3 Opus,1371,1.5174604091671169,-0.7870539058591239,0.06243541153057758,0.06264004115746823,0.5637841642595741,818.9103633791527,917.8886351469802,822.9984333542178,logistic
Claude 3.5 Sonnet (New),1384,2.6993293374137646,-0.8033043221666769,0.021071597034624547,0.01571087745264876,0.5509554999152017,943.3679272692876,1126.8069343985085,954.791878837008,logistic
Claude 3.5 Sonnet (Old),1378,2.3717690307537302,-0.8283298240523916,0.031655916246909575,0.02690226379270606,0.5752053304156405,888.8385513005743,1145.178050872002,917.3374410568628,logistic
Claude 3.7 Sonnet,1344,5.597681733248302,-1.32366242194912,0.009390820715292882,0.009166977477412071,0.951262267932146,682.1485944397824,676.6391500121273,678.8822463256139,exponential
GPT-2,746,-1.5852757426120745,-0.4787911176473685,10.618296043090599,8.52498855503825,0.311728173535203,890.0488979860943,956.2955018770731,882.4345550225776,weibull
GPT-4 0125,1379,1.6546230681955223,-0.9796040727991109,0.08941231300022488,0.09067640952423892,0.6854190210705646,651.496269257415,741.7837544575175,684.380755467469,logistic
GPT-4 0314,1279,1.4488558496619666,-0.814033405085527,0.07602063404080739,0.07351475554445709,0.5822146284202728,702.7315757202217,787.0918258646618,709.7851239319092,logistic
GPT-4 1106,1376,1.8416570172590718,-0.8155826123066655,0.05156814562395291,0.04803429888546404,0.5583069610771941,895.9224466253403,1023.0062296690007,893.4184461207232,weibull
GPT-4 Turbo,1372,2.050731481252845,-1.045344578531276,0.07371964921818547,0.0748559725534403,0.7282058938693219,653.5909892211187,690.1495449844056,668.3191123455823,logistic
GPT-4o,1362,1.8939254361478808,-0.8162089001107772,0.04899746285967331,0.045308130799440426,0.564419234041315,854.4890535146758,920.3907687624087,852.2204801599922,weibull
davinci-002 (GPT-3),1469,-2.324861459624002,-1.231089635433587,4.4520156746779405,3.972174418419485,0.8549243415625986,641.384825876149,636.0951255383466,637.2311287943699,exponential
human,793,2.2596379706509615,-0.4320873530450565,0.003042192140120293,0.001824517301166618,0.35195648913637745,771.2528104576957,979.1195714211433,771.8019727409211,logistic
o1,1337,3.2107613756607307,-0.801075573865361,0.010961981690165986,0.008535854780694699,0.5834096854969884,893.9188598939407,976.2242955990345,887.9051449247991,weibull
o1-preview,1337,2.9735148529950566,-0.8897420938687004,0.02134669145112677,0.01717691161974968,0.6053181818863188,828.1397552453201,864.776090351142,826.8353629863004,weibull
