alias,capability,lambda,log_lambda
Claude 3 Opus,0.5215171407731582,0.055890621034036,-2.884358694042172
Claude 3.5 Sonnet (New),0.6452312138728323,0.0146278665703118,-4.224826900263005
Claude 3.5 Sonnet (Old),0.6015965166908563,0.0224473014606223,-3.796584874218189
Claude 3.7 Sonnet,0.7291666666666666,0.0086792550115513,-4.746819582155618
GPT-2,0.35254691689008044,9.133001611499582,2.211894404157526
GPT-4 0125,0.495286439448876,0.0742691907683357,-2.6000590731683473
GPT-4 0314,0.5293197810789679,0.0630538255412292,-2.7637665436897323
GPT-4 1106,0.5406976744186046,0.0445535849912175,-3.1110626571196174
GPT-4 Turbo,0.5123906705539358,0.0651889478550789,-2.7304653358433857
GPT-4o,0.5513950073421439,0.0428563592249876,-3.149901238298707
davinci-002 (GPT-3),0.23213070115724982,3.705117174814319,1.309714884378675
o1,0.7030665669409125,0.0090807622076217,-4.701597146321328
o1-preview,0.6507105459985041,0.0177496933690686,-4.031387038191977
