,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[0],0.64,0.028,0.581,0.694,0.002,0.002,253.0,1442.0,1.04
k[1],0.614,0.028,0.555,0.668,0.005,0.002,34.0,76.0,1.07
k[2],0.61,0.031,0.556,0.66,0.01,0.002,9.0,1706.0,1.33
k[3],0.862,0.046,0.777,0.944,0.012,0.004,14.0,94.0,1.21
k[4],0.74,0.185,0.382,1.052,0.056,0.029,11.0,15.0,1.28
k[5],0.709,0.033,0.652,0.775,0.005,0.001,40.0,696.0,1.06
k[6],0.66,0.031,0.6,0.727,0.002,0.002,275.0,3511.0,1.13
k[7],0.605,0.026,0.551,0.661,0.001,0.003,961.0,1883.0,1.13
k[8],0.758,0.046,0.678,0.839,0.014,0.002,10.0,27.0,1.3
k[9],0.644,0.034,0.58,0.706,0.008,0.003,20.0,11.0,1.13
k[10],0.799,0.061,0.67,0.902,0.01,0.003,39.0,1863.0,1.06
k[11],0.911,0.053,0.816,1.018,0.015,0.003,13.0,26.0,1.21
k[12],0.625,0.043,0.54,0.692,0.016,0.009,8.0,9.0,1.43
k[13],0.699,0.033,0.634,0.765,0.002,0.003,161.0,1194.0,1.05
lam[0],3.396,0.258,2.88,3.858,0.04,0.017,45.0,3951.0,1.08
lam[1],0.884,0.07,0.746,1.02,0.007,0.002,121.0,2025.0,1.02
lam[2],1.338,0.107,1.14,1.572,0.008,0.011,200.0,3731.0,1.06
lam[3],0.518,0.037,0.443,0.591,0.002,0.002,243.0,2209.0,1.05
lam[4],207.979,159.978,32.788,581.864,70.585,57.546,5.0,7.0,2.0
lam[5],4.407,0.331,3.803,5.119,0.045,0.024,61.0,505.0,1.11
lam[6],3.713,0.319,3.144,4.327,0.053,0.008,38.0,812.0,1.06
lam[7],2.591,0.244,2.117,3.052,0.064,0.016,14.0,20.0,1.2
lam[8],3.997,0.331,3.465,4.773,0.099,0.058,13.0,25.0,1.21
lam[9],2.578,0.189,2.176,2.95,0.008,0.019,476.0,2236.0,1.08
lam[10],219.584,24.428,173.963,258.143,7.207,1.147,12.0,230.0,1.24
lam[11],34.545,3.856,27.443,41.82,0.767,0.086,26.0,499.0,1.1
lam[12],0.55,0.045,0.456,0.633,0.005,0.004,72.0,2308.0,1.15
lam[13],1.059,0.08,0.899,1.224,0.009,0.007,70.0,1999.0,1.1
